"id";"lang";"label";"desc"
"Q40811";"fr";"Soukhoumi";"ville de la Géorgie"
"Q31354462";"fr";"Abkhazie";"république avec reconnaissance limitée du Caucase"
"Q5838";"fr";"Kaboul";"capitale de l'Afghanistan"
"Q889";"fr";"Afghanistan";"pays d'Asie centrale"
"Q3897";"fr";"Luanda";"capitale de l'Angola"
"Q916";"fr";"Angola";"pays d'Afrique du sud-ouest"
"Q19689";"fr";"Tirana";"capitale de l’Albanie"
"Q222";"fr";"Albanie";"pays d'Europe"
"Q1863";"fr";"Andorre-la-Vieille";"capitale de l'Andorre"
"Q228";"fr";"Andorre";"principauté d'Europe"
"Q1519";"fr";"Abou Dabi";"capitale des Émirats arabes unis"
"Q878";"fr";"Émirats arabes unis";"État fédéral du golfe Persique"
"Q1486";"fr";"Buenos Aires";"capitale de l’Argentine"
"Q414";"fr";"Argentine";"pays d’Amérique du Sud"
"Q1953";"fr";"Erevan";"capitale de l'Arménie"
"Q399";"fr";"Arménie";"pays du Caucase"
"Q36262";"fr";"Saint John's";"capitale d'Antigua-et-Barbuda"
"Q781";"fr";"Antigua-et-Barbuda";"pays des Antilles"
"Q3114";"fr";"Canberra";"capitale de l'Australie"
"Q408";"fr";"Australie";"pays d'Océanie"
"Q1741";"fr";"Vienne";"capitale de l'Autriche"
"Q40";"fr";"Autriche";"pays d'Europe"
"Q9248";"fr";"Bakou";"capitale de l'Azerbaïdjan"
"Q227";"fr";"Azerbaïdjan";"pays du Caucase"
"Q167551";"fr";"Gitega";"capitale du Burundi"
"Q967";"fr";"Burundi";"pays d'Afrique de l'Est"
"Q239";"fr";"Bruxelles";"ville, capitale de la Belgique"
"Q31";"fr";"Belgique";"État d'Europe occidentale"
"Q3799";"fr";"Porto-Novo";"capitale du Bénin"
"Q962";"fr";"Bénin";"pays d'Afrique de l'Ouest, indépendant depuis 1960"
"Q3777";"fr";"Ouagadougou";"capitale du Burkina Faso"
"Q965";"fr";"Burkina Faso";"pays d'Afrique de l'Ouest"
"Q1354";"fr";"Dacca";"capitale du Bangladesh"
"Q902";"fr";"Bangladesh";"pays d'Asie du Sud"
"Q472";"fr";"Sofia";"capitale de la Bulgarie"
"Q219";"fr";"Bulgarie";"pays d'Europe"
"Q3882";"fr";"Manama";"capitale de Bahreïn"
"Q398";"fr";"Bahreïn";"pays du Moyen-Orient"
"Q2467";"fr";"Nassau";"capitale des Bahamas"
"Q778";"fr";"Bahamas";"État insulaire au large des Caraïbes"
"Q11194";"fr";"Sarajevo";"capitale de la Bosnie-Herzégovine"
"Q225";"fr";"Bosnie-Herzégovine";"État d'Europe du Sud"
"Q2280";"fr";"Minsk";"capitale de la Biélorussie"
"Q184";"fr";"Biélorussie";"pays d'Europe orientale"
"Q3043";"fr";"Belmopan";"capitale du Belize"
"Q242";"fr";"Belize";"pays d'Amérique centrale"
"Q1491";"fr";"La Paz";"capitale administrative de la Bolivie"
"Q750";"fr";"Bolivie";"pays d'Amérique du Sud"
"Q2844";"fr";"Brasilia";"capitale du Brésil"
"Q155";"fr";"Brésil";"pays d'Amérique du Sud"
"Q36168";"fr";"Bridgetown";"capitale de la Barbade"
"Q244";"fr";"Barbade";"pays insulaire des Petites Antilles"
"Q9279";"fr";"Bandar Seri Begawan";"capitale de Brunei"
"Q921";"fr";"Brunei";"micro-État membre du Commonwealth, situé sur l’île de Bornéo et enclavé dans l’État malais de Sarawak"
"Q9270";"fr";"Thimphou";"capitale du Bhoutan"
"Q917";"fr";"Bhoutan";"pays d'Asie"
"Q3919";"fr";"Gaborone";"capitale du Botswana"
"Q963";"fr";"Botswana";"pays d'Afrique australe"
"Q3832";"fr";"Bangui";"capitale de la République centrafricaine"
"Q929";"fr";"République centrafricaine";"État d'Afrique centrale"
"Q1930";"fr";"Ottawa";"capitale du Canada"
"Q16";"fr";"Canada";"pays d'Amérique du Nord"
"Q70";"fr";"Berne";"capitale ''de facto'' de la Suisse et chef-lieu du canton de Berne"
"Q39";"fr";"Suisse";"pays d'Europe centrale"
"Q2887";"fr";"Santiago";"capitale du Chili"
"Q298";"fr";"Chili";"pays d'Amérique du Sud"
"Q956";"fr";"Pékin";"capitale de la Chine (République populaire de Chine)"
"Q148";"fr";"République populaire de Chine";"pays d'Asie"
"Q3768";"fr";"Yamoussoukro";"capitale de la Côte d'Ivoire"
"Q1008";"fr";"Côte d'Ivoire";"pays d'Afrique de l'Ouest"
"Q3808";"fr";"Yaoundé";"capitale du Cameroun"
"Q1009";"fr";"Cameroun";"pays d'Afrique"
"Q3838";"fr";"Kinshasa";"capitale de la république démocratique du Congo"
"Q974";"fr";"République démocratique du Congo";"pays d'Afrique centrale"
"Q3844";"fr";"Brazzaville";"capitale de la république du Congo"
"Q971";"fr";"République du Congo";"pays d'Afrique centrale"
"Q2841";"fr";"Bogota";"capitale de la Colombie"
"Q739";"fr";"Colombie";"pays d'Amérique du Sud"
"Q3901";"fr";"Moroni";"capitale des Comores"
"Q970";"fr";"Comores";"pays situé au nord du canal du Mozambique dans l'océan Indien"
"Q3751";"fr";"Praia";"capitale du Cap-Vert"
"Q1011";"fr";"Cap-Vert";"pays insulaire d'Afrique occidentale"
"Q3070";"fr";"San José";"capitale du Costa Rica"
"Q800";"fr";"Costa Rica";"pays d'Amérique centrale"
"Q1563";"fr";"La Havane";"capitale de Cuba"
"Q241";"fr";"Cuba";"pays de l'archipel caraïbe"
"Q23681";"fr";"Chypre du Nord";"État auto-proclamé"
"Q3856";"fr";"Nicosie";"capitale de Chypre"
"Q229";"fr";"Chypre";"pays méditerranéen"
"Q1085";"fr";"Prague";"capitale de la Tchéquie"
"Q213";"fr";"Tchéquie";"pays d’Europe"
"Q64";"fr";"Berlin";"capitale de l'Allemagne"
"Q183";"fr";"Allemagne";"pays d'Europe"
"Q3604";"fr";"Djibouti";"capitale de Djibouti"
"Q977";"fr";"Djibouti";"pays d'Afrique de l'Est"
"Q36281";"fr";"Roseau";"capitale de la Dominique"
"Q784";"fr";"Dominique";"pays de l'archipel des Caraïbes"
"Q1748";"fr";"Copenhague";"capitale du Danemark"
"Q35";"fr";"Danemark";"pays d’Europe"
"Q34820";"fr";"Saint-Domingue";"capitale de la république dominicaine"
"Q786";"fr";"République dominicaine";"État des Antilles"
"Q3561";"fr";"Alger";"capitale de l'Algérie"
"Q262";"fr";"Algérie";"pays d'Afrique du Nord"
"Q2900";"fr";"Quito";"capitale de l'Équateur"
"Q736";"fr";"Équateur";"pays d'Amérique du Sud"
"Q85";"fr";"Le Caire";"capitale de l'Égypte"
"Q79";"fr";"Égypte";"pays d'Afrique du Nord"
"Q3642";"fr";"Asmara";"capitale de l'Érythrée"
"Q986";"fr";"Érythrée";"pays de l'Afrique de l'Est"
"Q6250";"fr";"Sahara occidental";"territoire disputé du Nord-Ouest de l'Afrique"
"Q2807";"fr";"Madrid";"capitale de l'Espagne"
"Q29";"fr";"Espagne";"pays d'Europe"
"Q1770";"fr";"Tallinn";"capitale de l'Estonie"
"Q191";"fr";"Estonie";"pays d'Europe"
"Q3624";"fr";"Addis-Abeba";"capitale de l'Éthiopie"
"Q115";"fr";"Éthiopie";"État indépendant situé dans la Corne de l'Afrique"
"Q1757";"fr";"Helsinki";"capitale de la Finlande"
"Q33";"fr";"Finlande";"pays d'Europe du Nord"
"Q38807";"fr";"Suva";"capitale des Fidji"
"Q712";"fr";"Fidji";"État insulaire d'Océanie"
"Q90";"fr";"Paris";"capitale de la France"
"Q142";"fr";"France";"pays d'Europe de l'Ouest"
"Q42751";"fr";"Palikir";"capitale de la Micronésie"
"Q702";"fr";"États fédérés de Micronésie";"État d'Océanie"
"Q3825";"fr";"Libreville";"capitale du Gabon"
"Q1000";"fr";"Gabon";"pays d'Afrique"
"Q84";"fr";"Londres";"capitale du Royaume-Uni"
"Q145";"fr";"Royaume-Uni";"pays d'Europe occidentale"
"Q994";"fr";"Tbilissi";"capitale de la Géorgie"
"Q230";"fr";"Géorgie";"pays du Caucase depuis 1995"
"Q3761";"fr";"Accra";"capitale du Ghana"
"Q117";"fr";"Ghana";"pays d'Afrique de l'Ouest"
"Q3733";"fr";"Conakry";"Capitale de la République de Guinée"
"Q1006";"fr";"Guinée";"pays d'Afrique de l'Ouest"
"Q3726";"fr";"Banjul";"capitale de la Gambie"
"Q1005";"fr";"Gambie";"pays d'Afrique de l'Ouest"
"Q3739";"fr";"Bissau";"capitale de la Guinée-Bissau"
"Q1007";"fr";"Guinée-Bissau";"pays d'Afrique de l'Ouest"
"Q3818";"fr";"Malabo";"capitale de la Guinée équatoriale"
"Q983";"fr";"Guinée équatoriale";"pays d'Afrique centrale"
"Q1524";"fr";"Athènes";"ville de l'Attique et capitale de la Grèce"
"Q41";"fr";"Grèce";"pays d'Europe"
"Q41547";"fr";"Saint-Georges";"capitale de la Grenade"
"Q769";"fr";"Grenade";"pays archipélagique des Petites Antilles"
"Q1555";"fr";"Guatemala-Ville";"capitale du Guatemala"
"Q774";"fr";"Guatemala";"pays d'Amérique centrale"
"Q10717";"fr";"Georgetown";"capitale du Guyana"
"Q734";"fr";"Guyana";"pays d'Amérique du Sud"
"Q3238";"fr";"Tegucigalpa";"capitale du Honduras"
"Q783";"fr";"Honduras";"pays d'Amérique centrale"
"Q1435";"fr";"Zagreb";"capitale de la Croatie"
"Q224";"fr";"Croatie";"pays d'Europe"
"Q34261";"fr";"Port-au-Prince";"capitale d'Haïti"
"Q790";"fr";"Haïti";"État des Antilles"
"Q1781";"fr";"Budapest";"capitale de la Hongrie"
"Q28";"fr";"Hongrie";"pays d'Europe"
"Q3630";"fr";"Jakarta";"capitale de l'Indonésie"
"Q252";"fr";"Indonésie";"pays d'Asie"
"Q987";"fr";"New Delhi";"capitale de l'Inde"
"Q668";"fr";"Inde";"pays d'Asie du Sud"
"Q1761";"fr";"Dublin";"capitale de l'Irlande"
"Q27";"fr";"Irlande";"pays d'Europe"
"Q3616";"fr";"Téhéran";"capitale de l'Iran"
"Q794";"fr";"Iran";"État d'Asie de l'Ouest"
"Q1530";"fr";"Bagdad";"capitale de l'Irak"
"Q796";"fr";"Irak";"État du Moyen-Orient, situé au nord de la péninsule arabique"
"Q1764";"fr";"Reykjavik";"capitale de l'Islande"
"Q189";"fr";"Islande";"pays insulaire d'Europe du Nord"
"Q1218";"fr";"Jérusalem";"ville du Proche-Orient, capitale de facto de l'État d'Israël"
"Q801";"fr";"Israël";"État du Proche-Orient"
"Q220";"fr";"Rome";"capitale de l'Italie"
"Q38";"fr";"Italie";"État d'Europe du Sud"
"Q34692";"fr";"Kingston";"capitale de la Jamaïque"
"Q766";"fr";"Jamaïque";"état insulaire des Caraïbes"
"Q3805";"fr";"Amman";"capitale de la Jordanie"
"Q810";"fr";"Jordanie";"État du Proche-Orient"
"Q1490";"fr";"Tokyo";"capitale du Japon"
"Q17";"fr";"Japon";"pays d’Asie de l’Est"
"Q1520";"fr";"Noursoultan";"capitale du Kazakhstan"
"Q232";"fr";"Kazakhstan";"pays d'Asie centrale"
"Q3870";"fr";"Nairobi";"capitale du Kenya"
"Q114";"fr";"Kenya";"pays d’Afrique de l'Est"
"Q9361";"fr";"Bichkek";"capitale du Kirghizistan"
"Q813";"fr";"Kirghizistan";"pays d'Asie centrale"
"Q1850";"fr";"Phnom Penh";"capitale du Cambodge"
"Q424";"fr";"Cambodge";"pays d'Asie du Sud-Est"
"Q131233";"fr";"Tarawa-Sud";"capitale des Kiribati"
"Q710";"fr";"Kiribati";"État insulaire d'Océanie"
"Q41295";"fr";"Basseterre";"capitale de Saint-Christophe-et-Niévès"
"Q763";"fr";"Saint-Christophe-et-Niévès";"État situé dans les petites Antilles"
"Q8684";"fr";"Séoul";"capitale de la Corée du Sud"
"Q884";"fr";"Corée du Sud";"pays d'Asie de l'Est"
"Q25270";"fr";"Pristina";"capitale du Kosovo"
"Q1246";"fr";"Kosovo";"pays issu de l'ancienne Yougoslavie dont la reconnaissance est limitée"
"Q35178";"fr";"Koweït";"capitale du Koweït"
"Q817";"fr";"Koweït";"État du golfe Persique"
"Q9326";"fr";"Vientiane";"capitale du Laos"
"Q819";"fr";"Laos";"pays d'Asie du Sud-Est"
"Q3820";"fr";"Beyrouth";"capitale du Liban"
"Q822";"fr";"Liban";"État du Proche-Orient"
"Q3748";"fr";"Monrovia";"capitale du Liberia"
"Q1014";"fr";"Liberia";"pays d'Afrique de l'Ouest"
"Q3579";"fr";"Tripoli";"capitale de la Libye"
"Q1016";"fr";"Libye";"pays d'Afrique du Nord"
"Q41699";"fr";"Castries";"capitale de Sainte-Lucie"
"Q760";"fr";"Sainte-Lucie";"État insulaire des Antilles"
"Q1844";"fr";"Vaduz";"capitale du Liechtenstein"
"Q347";"fr";"Liechtenstein";"principauté d'Europe"
"Q35381";"fr";"Colombo";"capitale économique du Sri Lanka"
"Q854";"fr";"Sri Lanka";"pays d'Asie"
"Q3909";"fr";"Maseru";"capitale du Lesotho"
"Q1013";"fr";"Lesotho";"pays d'Afrique australe"
"Q216";"fr";"Vilnius";"capitale de la Lituanie"
"Q37";"fr";"Lituanie";"pays d'Europe"
"Q1842";"fr";"Luxembourg";"capitale du Luxembourg"
"Q32";"fr";"Luxembourg";"pays d’Europe"
"Q1773";"fr";"Riga";"capitale de la Lettonie"
"Q211";"fr";"Lettonie";"pays d'Europe du Nord-Est"
"Q3551";"fr";"Rabat";"capitale du Maroc"
"Q1028";"fr";"Maroc";"pays d'Afrique du Nord"
"Q55115";"fr";"Monaco-Ville";"quartier de Monaco"
"Q235";"fr";"Monaco";"principauté européenne"
"Q21197";"fr";"Chi<U+0219>inau";"capitale de la Moldavie"
"Q217";"fr";"Moldavie";"pays d'Europe continentale"
"Q3915";"fr";"Antananarivo";"capitale de Madagascar"
"Q1019";"fr";"Madagascar";"pays situé dans la partie occidentale de l'océan Indien"
"Q9347";"fr";"Malé";"capitale des Maldives"
"Q826";"fr";"Maldives";"pays d'Asie"
"Q1489";"fr";"Mexico";"capitale du Mexique"
"Q96";"fr";"Mexique";"pays d'Amérique du Nord"
"Q12919";"fr";"Majuro";"atoll et capitale des îles Marshall"
"Q709";"fr";"Îles Marshall";"État de Micronésie situé en Océanie"
"Q384";"fr";"Skopje";"capitale de la Macédoine du Nord"
"Q221";"fr";"Macédoine du Nord";"État d'Europe du Sud"
"Q3703";"fr";"Bamako";"capitale du Mali"
"Q912";"fr";"Mali";"pays d'Afrique de l'Ouest"
"Q23800";"fr";"La Valette";"capitale de Malte"
"Q233";"fr";"Malte";"État insulaire de Méditerranée"
"Q37400";"fr";"Naypyidaw";"capitale de la Birmanie (Myanmar)"
"Q836";"fr";"Birmanie";"pays d'Asie du Sud-Est"
"Q23564";"fr";"Podgorica";"capitale du Monténégro"
"Q236";"fr";"Monténégro";"pays d'Europe"
"Q23430";"fr";"Oulan-Bator";"capitale de la Mongolie"
"Q711";"fr";"Mongolie";"pays d'Asie, situé entre la Russie au nord et la Chine au sud"
"Q3889";"fr";"Maputo";"capitale du Mozambique"
"Q1029";"fr";"Mozambique";"pays d'Afrique australe"
"Q3688";"fr";"Nouakchott";"capitale de la Mauritanie"
"Q1025";"fr";"Mauritanie";"pays du nord-ouest africain"
"Q3929";"fr";"Port-Louis";"capitale de Maurice"
"Q1027";"fr";"Maurice";"État insulaire de l’océan Indien"
"Q3876";"fr";"Lilongwe";"capitale du Malawi"
"Q1020";"fr";"Malawi";"pays d'Afrique australe"
"Q1865";"fr";"Kuala Lumpur";"capitale de la Malaisie"
"Q833";"fr";"Malaisie";"pays d'Asie du Sud-Est"
"Q3935";"fr";"Windhoek";"capitale de la Namibie"
"Q1030";"fr";"Namibie";"pays d'Afrique australe"
"Q3674";"fr";"Niamey";"capitale du Niger"
"Q1032";"fr";"Niger";"pays d'Afrique de l'Ouest"
"Q3787";"fr";"Abuja";"capitale du Nigeria"
"Q1033";"fr";"Nigeria";"république fédérale d’Afrique de l’Ouest"
"Q3274";"fr";"Managua";"capitale du Nicaragua"
"Q811";"fr";"Nicaragua";"république d’Amérique centrale"
"Q727";"fr";"Amsterdam";"capitale des Pays-Bas"
"Q29999";"fr";"Royaume des Pays-Bas";"pays d'Europe occidentale"
"Q585";"fr";"Oslo";"capitale de la Norvège"
"Q20";"fr";"Norvège";"pays d'Europe du Nord et de la Scandinavie"
"Q3037";"fr";"Katmandou";"capitale du Népal"
"Q837";"fr";"Népal";"république fédérale d’Asie du Sud enclavée dans l’Himalaya"
"Q31026";"fr";"Yaren";"capitale ''de facto'' de Nauru"
"Q697";"fr";"Nauru";"État insulaire d'Océanie situé en Micronésie"
"Q23661";"fr";"Wellington";"capitale de la Nouvelle-Zélande"
"Q664";"fr";"Nouvelle-Zélande";"pays d'Océanie, au Sud-Ouest de l'océan Pacifique"
"Q3826";"fr";"Mascate";"capitale d'Oman"
"Q842";"fr";"Oman";"sultanat du Moyen-Orient, au sud-est de la péninsule d’Arabie"
"Q79863";"fr";"Tskhinvali";"ville de Kartlie intérieure, Géorgie"
"Q23427";"fr";"Ossétie du Sud-Alanie";"pays situé dans le Caucase dont la reconnaissance est limitée"
"Q1362";"fr";"Islamabad";"capitale du Pakistan"
"Q843";"fr";"Pakistan";"république islamique du sous-continent indien"
"Q3306";"fr";"Panama";"capitale du Panama"
"Q804";"fr";"Panama";"république d’Amérique centrale"
"Q2868";"fr";"Lima";"capitale du Pérou"
"Q419";"fr";"Pérou";"pays d'Amérique du Sud"
"Q1461";"fr";"Manille";"capitale des Philippines"
"Q928";"fr";"Philippines";"pays d'Asie du Sud-Est"
"Q515229";"fr";"Ngerulmud";"lieu-dit de Melekeok"
"Q695";"fr";"Palaos";"pays d'Océanie"
"Q36526";"fr";"Port Moresby";"capitale de Papouasie-Nouvelle-Guinée"
"Q691";"fr";"Papouasie-Nouvelle-Guinée";"pays d'Océanie occupant la moitié orientale de l'île de la Nouvelle-Guinée"
"Q270";"fr";"Varsovie";"capitale de la Pologne"
"Q36";"fr";"Pologne";"pays d'Europe centrale"
"Q18808";"fr";"Pyongyang";"capitale de la Corée du Nord"
"Q423";"fr";"Corée du Nord";"pays d'Asie orientale"
"Q597";"fr";"Lisbonne";"capitale du Portugal"
"Q45";"fr";"Portugal";"pays d'Europe"
"Q2933";"fr";"Asuncion";"capitale du Paraguay"
"Q733";"fr";"Paraguay";"république d’Amérique du Sud"
"Q158119";"fr";"Ramallah";"capitale administrative ''de facto'' de l'Autorité palestinienne"
"Q47492";"fr";"Gaza";"principale ville de la bande de Gaza"
"Q407199";"fr";"Territoires palestiniens";"territoires de la Cisjordanie (excluant Jérusalem-Est annexé à l'État d'Israël) et de la bande de Gaza, occupés par Israël depuis 1967, selon la droit international et la Haute cour de Justice d'Israël"
"Q36678";"fr";"Cisjordanie";"région du Proche-Orient"
"Q39760";"fr";"bande de Gaza";"territoire sur la côte orientale de la mer Méditerranée"
"Q3861";"fr";"Doha";"capitale du Qatar"
"Q846";"fr";"Qatar";"émirat du Moyen-Orient"
"Q19660";"fr";"Bucarest";"capitale de la Roumanie"
"Q218";"fr";"Roumanie";"pays d'Europe de l'Est"
"Q649";"fr";"Moscou";"capitale de la Russie"
"Q159";"fr";"Russie";"pays eurasiatique"
"Q3859";"fr";"Kigali";"capitale du Rwanda"
"Q1037";"fr";"Rwanda";"pays d'Afrique équatoriale"
"Q3692";"fr";"Riyad";"capitale de l'Arabie Saoudite"
"Q851";"fr";"Arabie saoudite";"pays du Moyen-Orient"
"Q1963";"fr";"Khartoum";"capitale du Soudan"
"Q1049";"fr";"Soudan";"pays d'Afrique"
"Q3718";"fr";"Dakar";"capitale du Sénégal"
"Q1041";"fr";"Sénégal";"pays d'Afrique de l'Ouest"
"Q334";"fr";"Singapour";"cité-État d'Asie du Sud-Est"
"Q334";"fr";"Singapour";"cité-État d'Asie du Sud-Est"
"Q40921";"fr";"Honiara";"capitale des Îles Salomon"
"Q685";"fr";"Îles Salomon";"État d'Océanie"
"Q3780";"fr";"Freetown";"capitale de la Sierra Leone"
"Q1044";"fr";"Sierra Leone";"pays d'Afrique de l'Ouest"
"Q3110";"fr";"San Salvador";"capitale du Salvador"
"Q792";"fr";"Salvador";"pays d'Amérique centrale"
"Q1848";"fr";"Saint-Marin";"capitale de Saint-Marin"
"Q238";"fr";"Saint-Marin";"État européen enclavé dans l'Italie"
"Q2449";"fr";"Mogadiscio";"capitale de la Somalie"
"Q1045";"fr";"Somalie";"pays d'Afrique de l'Est"
"Q3711";"fr";"Belgrade";"capitale de la Serbie"
"Q403";"fr";"Serbie";"pays d'Europe du Sud"
"Q1947";"fr";"Djouba";"capitale du Soudan du Sud"
"Q958";"fr";"Soudan du Sud";"pays d'Afrique de l'Est"
"Q3932";"fr";"São Tomé";"capitale de Sao Tomé-et-Principe"
"Q1039";"fr";"Sao Tomé-et-Principe";"pays d'Afrique"
"Q3001";"fr";"Paramaribo";"capitale du Suriname"
"Q730";"fr";"Suriname";"pays d'Amérique du Sud depuis 1975"
"Q1780";"fr";"Bratislava";"capitale de la Slovaquie"
"Q214";"fr";"Slovaquie";"pays d'Europe centrale"
"Q437";"fr";"Ljubljana";"capitale de la Slovénie"
"Q215";"fr";"Slovénie";"pays d'Europe"
"Q1754";"fr";"Stockholm";"capitale de la Suède"
"Q34";"fr";"Suède";"pays d'Europe du Nord situé en Scandinavie"
"Q3904";"fr";"Mbabane";"capitale de l'Eswatini"
"Q1050";"fr";"Eswatini";"pays d'Afrique australe"
"Q3940";"fr";"Victoria";"capitale des Seychelles"
"Q1042";"fr";"Seychelles";"pays insulaire à l'est de l'Afrique"
"Q3766";"fr";"Damas";"capitale de la Syrie"
"Q858";"fr";"Syrie";"État arabe du Proche-Orient"
"Q3659";"fr";"N'Djaména";"capitale du Tchad"
"Q657";"fr";"Tchad";"pays d'Afrique centrale"
"Q3792";"fr";"Lomé";"capitale du Togo"
"Q945";"fr";"Togo";"pays situé en Afrique de l’Ouest"
"Q1861";"fr";"Bangkok";"capitale de la Thaïlande"
"Q869";"fr";"Thaïlande";"pays d’Asie du Sud-Est"
"Q9365";"fr";"Douchanbé";"capitale du Tadjikistan"
"Q863";"fr";"Tadjikistan";"pays d'Asie"
"Q23438";"fr";"Achgabat";"capitale du Turkménistan"
"Q874";"fr";"Turkménistan";"pays souverain d'Asie centrale"
"Q9310";"fr";"Dili";"capitale du Timor oriental"
"Q574";"fr";"Timor oriental";"pays d'Asie du Sud-Est"
"Q38834";"fr";"Nuku<U+02BB>alofa";"capitale des Tonga"
"Q678";"fr";"Tonga";"État de Polynésie"
"Q39178";"fr";"Port-d'Espagne";"capitale de Trinité-et-Tobago"
"Q754";"fr";"Trinité-et-Tobago";"État insulaire des Caraïbes"
"Q3572";"fr";"Tunis";"capitale de la Tunisie"
"Q948";"fr";"Tunisie";"pays d'Afrique du Nord"
"Q3640";"fr";"Ankara";"capitale de la Turquie"
"Q43";"fr";"Turquie";"pays aux confins de l'Asie et de l'Europe"
"Q34126";"fr";"Funafuti";"capitale et atoll des Tuvalu"
"Q672";"fr";"Tuvalu";"État et archipel polynésien"
"Q1867";"fr";"Taipei";"capitale de Taïwan (République de Chine)"
"Q865";"fr";"Taïwan";"pays insulaire du sud-est de l'Asie dont la reconnaissance est limitée"
"Q3866";"fr";"Dodoma";"capitale de la Tanzanie"
"Q924";"fr";"Tanzanie";"pays d'Afrique de l'Est"
"Q3894";"fr";"Kampala";"capitale de l'Ouganda"
"Q1036";"fr";"Ouganda";"pays d'Afrique équatoriale"
"Q1899";"fr";"Kiev";"capitale de l'Ukraine"
"Q212";"fr";"Ukraine";"État d'Europe orientale"
"Q1335";"fr";"Montevideo";"capitale de l'Uruguay"
"Q77";"fr";"Uruguay";"pays d'Amérique du Sud"
"Q61";"fr";"Washington";"capitale des États-Unis d'Amérique"
"Q30";"fr";"États-Unis";"pays transcontinental d'Amérique du Nord"
"Q269";"fr";"Tachkent";"capitale de l'Ouzbékistan"
"Q265";"fr";"Ouzbékistan";"pays d'Asie centrale"
"Q237";"fr";"Cité du Vatican";"État européen sous la souveraineté du Saint-Siège, depuis 1929"
"Q237";"fr";"Cité du Vatican";"État européen sous la souveraineté du Saint-Siège, depuis 1929"
"Q159583";"fr";"Saint-Siège";"Juridiction épiscopale de l'Église catholique, à Rome"
"Q41474";"fr";"Kingstown";"capitale de Saint-Vincent-et-les-Grenadines"
"Q757";"fr";"Saint-Vincent-et-les-Grenadines";"état insulaire des Petites Antilles"
"Q1533";"fr";"Caracas";"capitale du Venezuela"
"Q717";"fr";"Venezuela";"pays d'Amérique du Sud"
"Q1858";"fr";"Hanoï";"capitale du Viêt Nam"
"Q881";"fr";"Viêt Nam";"pays d’Asie du Sud-Est"
"Q37806";"fr";"Port-Vila";"capitale du Vanuatu"
"Q686";"fr";"Vanuatu";"État mélanésien"
"Q36260";"fr";"Apia";"capitale des Samoa"
"Q683";"fr";"Samoa";"État polynésien"
"Q2471";"fr";"Sanaa";"capitale du Yémen"
"Q805";"fr";"Yémen";"pays arabe situé à la pointe sud-ouest de la péninsule d'Arabie"
"Q3926";"fr";"Pretoria";"capitale administrative de l'Afrique du Sud"
"Q258";"fr";"Afrique du Sud";"pays d'Afrique"
"Q3881";"fr";"Lusaka";"capitale de la Zambie"
"Q953";"fr";"Zambie";"pays d'Afrique australe"
"Q3921";"fr";"Harare";"capitale du Zimbabwe"
"Q954";"fr";"Zimbabwe";"pays d'Afrique australe"
